Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type
1,376284,376284,10000,2025-09-21,1
2,657544,657544,10000,2025-04-07,1
3,65219,65219,10000,2025-01-27,1
4,288965,288965,10000,2025-03-28,1
5,498867,498867,10000,2025-03-21,1
6,862105,862105,10000,2025-08-07,1
7,85674,85674,10000,2025-04-28,1
8,931675,931675,10000,2025-04-07,1
9,344315,344315,10000,2025-11-07,1
10,488633,488633,10000,2025-06-21,1
11,841531,841531,10000,2025-12-21,1
12,18607,18607,10000,2025-12-21,1
13,440293,440293,10000,2025-07-14,1
14,919955,919955,10000,2025-04-14,1
15,344367,344367,10000,2025-07-07,1
16,457944,457944,10000,2025-11-21,1
17,239281,239281,10000,2025-12-07,1
18,335730,335730,10000,2025-03-14,1
19,599812,599812,10000,2025-06-21,1
20,81202,81202,10000,2025-07-21,1
21,595033,595033,10000,2025-07-28,1
22,984477,984477,10000,2025-11-14,1
23,596860,596860,10000,2025-10-14,1
24,166009,166009,10000,2025-04-21,1
25,197387,197387,10000,2025-06-07,1
26,42896,42896,10000,2025-09-07,1
27,709050,709050,10000,2025-03-21,1
28,949193,949193,10000,2025-01-06,1
29,515246,515246,10000,2025-09-28,1
30,152296,152296,10000,2025-08-14,1
31,828145,828145,10000,2025-11-07,1
32,295515,295515,10000,2025-02-13,1
33,308280,308280,10000,2025-01-06,1
34,629912,629912,10000,2025-08-07,1
35,411811,411811,10000,2025-04-28,1
36,267895,267895,10000,2025-03-21,1
37,975872,975872,10000,2025-04-07,1
38,195870,195870,10000,2025-02-06,1
39,379017,379017,10000,2025-01-13,1
40,241340,241340,10000,2025-01-20,1
41,490548,490548,10000,2025-08-07,1
42,458622,458622,10000,2025-12-28,1
43,481160,481160,10000,2025-04-28,1
44,510112,510112,10000,2025-03-28,1
45,223312,223312,10000,2025-10-21,1
46,957229,957229,10000,2025-12-28,1
47,251110,251110,10000,2025-03-14,1
48,698874,698874,10000,2025-11-28,1
49,207835,207835,10000,2025-03-21,1
50,644833,644833,10000,2025-07-07,1
51,692713,692713,10000,2025-05-21,1
52,314670,314670,10000,2025-09-14,1
53,448995,448995,10000,2025-05-14,1
54,127870,127870,10000,2025-12-28,1
55,421113,421113,10000,2025-03-07,1
56,81954,81954,10000,2025-10-28,1
57,126854,126854,10000,2025-05-28,1
58,893477,893477,10000,2025-03-07,1
59,906458,906458,10000,2025-08-21,1
60,365333,365333,10000,2025-05-07,1
61,631346,631346,10000,2025-11-21,1
62,709045,709045,10000,2025-11-28,1
63,548961,548961,10000,2025-10-14,1
64,700159,700159,10000,2025-01-06,1
65,586363,586363,10000,2025-03-21,1
66,674937,674937,10000,2025-01-20,1
67,146438,146438,10000,2025-06-28,1
68,724222,724222,10000,2025-05-21,1
69,987125,987125,10000,2025-09-28,1
70,890406,890406,10000,2025-11-28,1
71,695444,695444,10000,2025-03-28,1
72,540371,540371,10000,2025-04-07,1
73,110052,110052,10000,2025-10-28,1
74,472851,472851,10000,2025-06-28,1
75,625436,625436,10000,2025-07-14,1
76,573455,573455,10000,2025-01-13,1
77,253407,253407,10000,2025-02-20,1
78,88039,88039,10000,2025-04-21,1
79,754310,754310,10000,2025-07-14,1
80,223026,223026,10000,2025-06-14,1
81,20439,20439,10000,2025-01-13,1
82,625285,625285,10000,2025-07-07,1
83,744915,744915,10000,2025-05-07,1
84,946823,946823,10000,2025-04-28,1
85,433647,433647,10000,2025-09-21,1
86,189968,189968,10000,2025-10-14,1
87,613113,613113,10000,2025-02-13,1
88,208257,208257,10000,2025-11-14,1
89,296070,296070,10000,2025-06-07,1
90,567313,567313,10000,2025-01-27,1
91,817729,817729,10000,2025-01-13,1
92,311249,311249,10000,2025-11-28,1
93,938013,938013,10000,2025-08-14,1
94,615046,615046,10000,2025-09-21,1
